Наименование;Цена
Комутатор TP-Link SG1428PE 28-Port Gigabit Easy Smart Switch with 24-Port PoE+;200
TL-SG1008MP  8-Port Gigabit POE  Desktop/Rackmount;60
TP Link -SF1024D    24-портовый коммутатор 10/100 Мбит;42
TP-LINK SG1048 48-Port Gigabit Rackmount Switch;220
Коммутатор TP-Link Omada SG2428 P;200
TP-LINK 5-Port Gigabit Desktop Switch LS1005G;13
TP-Link LS1024G LiteWave 24-Port Gigabit Switch;70
Серверный  Шкафы Toten;
Шкаф 15 U 600x1000mm standing type server rack;350
Шкаф 18 U 600x1000mm standing type server rack;380
Шкаф 22 U 600x1000mm standing type server rack;400
Шкаф 32U 600x1000mm standing type server rack;540
Шкаф 37 U 600x1000 mm wall mounted type;600
Шкаф 4 U 600x450mm Китай;55
Шкаф 42U 800x1000mm standing type server rack;680
Шкаф 5 Pairs Punch Down Tool;12
Шкаф 6 U 600x450mm Китай;78
Шкаф 9 U 600x450mm Китай;95
Network patch panel CAT6 UTP 24port;20
Network patch panel CAT6 UTP 48port;35
Зажим RJ45 HT 546 Зард;7
Зажим RJ45 Прастой;9
Кабель канал  Metal cable manager 1U 19inch;13
Полка серверный шкаф калон;20
Полка серверный шкаф майда;10
РЕЛЬС  Sliding shelf for 600*1000mm cabinets;15
Тестер Lan;6
Шкаф 42U 600x1200mm standing type server rack;700
Шкаф 27U 600x1000mm standing type server rack;480
Зажим RJ45;12
Зажим Пач Панель;10
Шкаф 22 U 600x600mm standing type server rack;380
Шкаф 12 U 600x450mm Китай;100
Шкаф 42U 600x1000mm standing type server rack;610
Стабилизаторы Mercury;
Стабилизатор  Automatic Voltage Regulator 1000VA;33
Стабилизатор  Automatic Voltage Regulator 3000VA;80
Стабилизатор  Automatic Voltage Regulator 5000VA;88
Инвертор Mercury Inverter 1200 with LCD PANE;100
Инвертор  Mercury MC-33024E Radiant Inverter 3kva/24V;120
Стабилизатор AVR ANDELI  500va;25
Стабилизатор  Automatic Voltage Regulator 2000VA;52
Сумки  Miracase;
Сумка   Jeep   15,6;23
Сумка   Lucky Bat;15
Сумка  Рюкзак Бончи;20
Сумка  Сафед Сиех китай;8
Сумка EPOL  15.6;20
Сумка 90fen Vitality College Casual Backpack red;35
Сумка 90fen Vitality College Casual Backpack beige;35
Сумка 90fen Vitality College Casual Backpack yellow;35
Сумка 90fen Grinder Oxford casual backpack;35
Сумка Xiaomi 90Fen  Waterproof Commuting Bag;25
Сумка MQ Sports Travel Backpack;36
Сумка  DPark 15,6 Замш сабз-сафед сиех;16
Сумка Кожа Коричневый;25
Сумка  DPark кормашка Сиех;30
Сумка Рюкзак Sun Earth Cиех Серый;25
Сумка Рюкзак Sanwa;35
Сумка TANJIEZHE  Commuter backpack;36
Сумка 90fen All Weather Urban Functional Backpack;35
Сумка MQ Lingge Geometry Backpack;36
Сумка Розовый Черный  Гулоби Сиех;15
